ID;OBJECT (PAPER);OBJECT (2014 REL.);OBJECT (2017 REL.);SUPER CATEGORY
1;person;person;person;person
2;bicycle;bicycle;bicycle;vehicle
3;car;car;car;vehicle
4;motorcycle;motorcycle;motorcycle;vehicle
5;airplane;airplane;airplane;vehicle
6;bus;bus;bus;vehicle
7;train;train;train;vehicle
8;truck;truck;truck;vehicle
9;boat;boat;boat;vehicle
10;traffic light;traffic light;traffic light;outdoor
11;fire hydrant;fire hydrant;fire hydrant;outdoor
12;street sign;-;-;outdoor
13;stop sign;stop sign;stop sign;outdoor
14;parking meter;parking meter;parking meter;outdoor
15;bench;bench;bench;outdoor
16;bird;bird;bird;animal
17;cat;cat;cat;animal
18;dog;dog;dog;animal
19;horse;horse;horse;animal
20;sheep;sheep;sheep;animal
21;cow;cow;cow;animal
22;elephant;elephant;elephant;animal
23;bear;bear;bear;animal
24;zebra;zebra;zebra;animal
25;giraffe;giraffe;giraffe;animal
26;hat;-;-;accessory
27;backpack;backpack;backpack;accessory
28;umbrella;umbrella;umbrella;accessory
29;shoe;-;-;accessory
30;eye glasses;-;-;accessory
31;handbag;handbag;handbag;accessory
32;tie;tie;tie;accessory
33;suitcase;suitcase;suitcase;accessory
34;frisbee;frisbee;frisbee;sports
35;skis;skis;skis;sports
36;snowboard;snowboard;snowboard;sports
37;sports ball;sports ball;sports ball;sports
38;kite;kite;kite;sports
39;baseball bat;baseball bat;baseball bat;sports
40;baseball glove;baseball glove;baseball glove;sports
41;skateboard;skateboard;skateboard;sports
42;surfboard;surfboard;surfboard;sports
43;tennis racket;tennis racket;tennis racket;sports
44;bottle;bottle;bottle;kitchen
45;plate;-;-;kitchen
46;wine glass;wine glass;wine glass;kitchen
47;cup;cup;cup;kitchen
48;fork;fork;fork;kitchen
49;knife;knife;knife;kitchen
50;spoon;spoon;spoon;kitchen
51;bowl;bowl;bowl;kitchen
52;banana;banana;banana;food
53;apple;apple;apple;food
54;sandwich;sandwich;sandwich;food
55;orange;orange;orange;food
56;broccoli;broccoli;broccoli;food
57;carrot;carrot;carrot;food
58;hot dog;hot dog;hot dog;food
59;pizza;pizza;pizza;food
60;donut;donut;donut;food
61;cake;cake;cake;food
62;chair;chair;chair;furniture
63;couch;couch;couch;furniture
64;potted plant;potted plant;potted plant;furniture
65;bed;bed;bed;furniture
66;mirror;-;-;furniture
67;dining table;dining table;dining table;furniture
68;window;-;-;furniture
69;desk;-;-;furniture
70;toilet;toilet;toilet;furniture
71;door;-;-;furniture
72;tv;tv;tv;electronic
73;laptop;laptop;laptop;electronic
74;mouse;mouse;mouse;electronic
75;remote;remote;remote;electronic
76;keyboard;keyboard;keyboard;electronic
77;cell phone;cell phone;cell phone;electronic
78;microwave;microwave;microwave;appliance
79;oven;oven;oven;appliance
80;toaster;toaster;toaster;appliance
81;sink;sink;sink;appliance
82;refrigerator;refrigerator;refrigerator;appliance
83;blender;-;-;appliance
84;book;book;book;indoor
85;clock;clock;clock;indoor
86;vase;vase;vase;indoor
87;scissors;scissors;scissors;indoor
88;teddy bear;teddy bear;teddy bear;indoor
89;hair drier;hair drier;hair drier;indoor
90;toothbrush;toothbrush;toothbrush;indoor
91;hair brush;-;-;indoor
ID;STUFF (PAPER)
1;banner
2;blanket
3;branch
4;bridge
5;building-other
6;bush
7;cabinet
8;cage
9;cardboard
10;carpet
11;ceiling-other
12;ceiling-tile
13;cloth
14;clothes
15;clouds
16;counter
17;cupboard
18;curtain
19;desk-stuff
20;dirt
21;door-stuff
22;fence
23;floor-marble
24;floor-other
25;floor-stone
26;floor-tile
27;floor-wood
28;flower
29;fog
30;food-other
31;fruit
32;furniture-other
33;grass
34;gravel
35;ground-other
36;hill
37;house
38;leaves
39;light
40;mat
41;metal
42;mirror-stuff
43;moss
44;mountain
45;mud
46;napkin
47;net
48;paper
49;pavement
50;pillow
51;plant-other
52;plastic
53;platform
54;playingfield
55;railing
56;railroad
57;river
58;road
59;rock
60;roof
61;rug
62;salad
63;sand
64;sea
65;shelf
66;sky-other
67;skyscraper
68;snow
69;solid-other
70;stairs
71;stone
72;straw
73;structural-other
74;table
75;tent
76;textile-other
77;towel
78;tree
79;vegetable
80;wall-brick
81;wall-concrete
82;wall-other
83;wall-panel
84;wall-stone
85;wall-tile
86;wall-wood
87;water-other
88;waterdrops
89;window-blind
90;window-other
91;wood
92;other
ID;PANOPTIC (PAPER)
0;BG
1;person
2;bicycle
3;car
4;motorcycle
5;airplane
6;bus
7;train
8;truck
9;boat
10;traffic light
11;fire hydrant
12;stop sign
13;parking meter
14;bench
15;bird
16;cat
17;dog
18;horse
19;sheep
20;cow
21;elephant
22;bear
23;zebra
24;giraffe
25;backpack
26;umbrella
27;handbag
28;tie
29;suitcase
30;frisbee
31;skis
32;snowboard
33;sports ball
34;kite
35;baseball bat
36;baseball glove
37;skateboard
38;surfboard
39;tennis racket
40;bottle
41;wine glass
42;cup
43;fork
44;knife
45;spoon
46;bowl
47;banana
48;apple
49;sandwich
50;orange
